Date,AMZN,CAT,DE,EXC,GOOGL,JNJ,JPM,META,PFE,PG
1/2/2014,19.89850044,69.51254272,75.6209259,14.1210041,27.85585594,71.4433136,45.64005661,54.70999908,20.87905312,61.94151688
1/3/2014,19.8220005,69.47389221,75.95606232,13.83515167,27.65265274,72.08686066,45.9928894,54.56000137,20.92018318,61.87229538
1/6/2014,19.68149948,68.56118011,75.32769012,13.92351151,27.96096039,72.46360779,46.25946808,57.20000076,20.94074631,62.01842499
1/7/2014,19.9015007,68.78546143,75.66281128,13.99627113,28.5,74.0018692,45.72631073,57.91999817,21.07098007,62.61830139
1/8/2014,20.09600067,68.94790649,74.85012054,13.96508217,28.55930901,73.89984131,46.15754318,58.22999954,21.21492767,61.71081161
1/9/2014,20.05050087,69.3888092,74.54850006,14.04823685,28.28428459,74.34718323,46.07129669,57.22000122,21.20121384,61.84923172
1/10/2014,19.88299942,70.00756836,75.20201111,14.1210041,28.28278351,74.3550415,45.85960388,57.93999863,21.03671074,61.75693512
1/13/2014,19.54899979,69.52802277,74.9925766,14.02225399,28.10260391,74.16667938,45.24019241,55.90999985,20.9338913,61.53391647
1/14/2014,19.87700081,70.04621887,75.15174866,13.97547913,28.76376343,74.33934021,45.27155685,57.74000168,21.24920082,62.19532394
1/15/2014,19.7935009,71.47717285,75.23551941,13.91310787,28.74424362,74.40213013,46.64365768,57.59999847,21.3725853,62.13377762
1/16/2014,19.79000092,71.63291168,75.26065826,14.24573231,28.93443489,74.27654266,46.25162888,57.18999863,21.36573029,61.95689392
1/17/2014,19.98049927,71.18912506,74.85848999,14.13659573,28.79204178,74.6062088,45.56166077,56.29999924,21.31089592,61.43393326
1/21/2014,20.35250092,70.53514099,74.88362885,14.43283653,29.12162209,73.79779816,45.6086998,58.50999832,21.40685463,61.66466904
1/22/2014,20.22699928,69.7877655,74.28040314,14.61994267,29.15465546,74.02542114,45.15394974,57.50999832,21.43427658,61.39498901
1/23/2014,19.99349976,68.8846817,73.62692261,14.71868992,29.03153229,72.78536987,44.27579498,56.63000107,21.25605583,60.62783813
1/24/2014,19.37999916,67.08625793,71.67483521,14.69270325,28.12387466,71.11369324,43.19380569,54.45000076,20.62543297,61.35624313
1/27/2014,19.31399918,71.07234955,72.06022644,14.65631866,27.55830765,70.58785248,43.19380569,53.54999924,20.33068657,60.80607986
1/28/2014,19.7215004,71.99102783,72.54611969,14.60434532,28.1033535,70.71340179,43.70344543,55.13999939,20.85163498,61.30200577
1/29/2014,19.20999908,70.55072784,71.99318695,14.651124,27.70070076,69.7716217,43.53879547,53.52999878,20.6391449,60.16292191
1/30/2014,20.15049934,72.55934906,72.5377655,15.06690121,28.41316223,70.24249268,43.90729523,61.08000183,21.12582397,59.56624222
1/31/2014,17.93449974,73.11209869,72.01833344,15.07210255,29.5538044,69.43414307,43.40549469,62.56999969,20.83792686,59.37251663
2/3/2014,17.30750084,71.9520874,71.02970123,15.05651188,28.36411476,68.1077652,42.58223724,61.47999954,20.97501564,58.6595993
2/4/2014,17.39749908,72.01434326,71.30619049,15.02532959,28.48248291,67.98219299,43.08404541,62.75,21.55080032,58.96181107
2/5/2014,17.32250023,71.59397125,70.962677,14.99934006,28.60860825,68.50019836,43.28788757,62.18999863,21.18448067,59.24077988
2/6/2014,17.72949982,73.04981232,71.57428741,15.32676888,29.02802849,69.65388489,44.28364182,62.15999985,21.31580544,59.58950043
2/7/2014,18.05400085,73.85948181,72.52100372,15.30078793,29.46546555,70.66634369,44.39340973,64.31999969,21.57844734,59.90718842
2/10/2014,18.0435009,73.5714035,73.19124603,15.27999306,29.35260391,71.47470856,44.48749924,63.54999924,21.75124168,60.46511459
2/11/2014,18.08950043,73.9295578,73.27503967,15.31637669,29.78428459,72.96590424,45.02850342,64.84999847,22.03462601,61.09276962
2/12/2014,17.46249962,74.87159729,72.80586243,15.20081997,29.6969471,72.53424072,45.09905624,64.44999695,21.84801102,60.04667664
2/13/2014,17.86000061,74.82489777,71.92617035,15.44243813,30.02752876,72.64411163,45.4989357,67.33000183,21.91021538,60.28687668
2/14/2014,17.86750031,75.16744232,71.91777802,15.62102127,30.10009956,72.80107117,45.59302139,67.08999634,22.07609749,61.5267334
2/18/2014,17.68250084,75.1752243,71.29782867,15.78385544,30.30230141,72.33802032,45.85960388,67.30000305,22.03462601,60.41862488
2/19/2014,17.36899948,74.90274048,70.61917877,15.73658085,30.08858871,71.92204285,44.89520645,68.05999756,21.7581501,60.55034256
2/20/2014,17.48999977,75.45549011,71.31454468,15.87839985,30.13288307,72.50283813,45.14611435,69.62999725,21.80654144,60.37988281
2/21/2014,17.33799934,75.9070282,70.95431519,15.97819519,30.12487411,72.34475708,45.16962433,68.58999634,21.74433327,60.41862488
2/24/2014,17.5890007,75.76688385,71.04647064,15.96243763,30.34309387,72.02062225,45.4989357,70.77999878,22.11065102,60.33338547
2/25/2014,17.91600037,75.05845642,70.41812134,15.94667625,30.53053093,72.02062225,44.71487427,69.84999847,22.04153442,60.53485107
2/26/2014,17.98999977,75.67347717,70.66944122,15.97819519,30.53478432,72.02062225,44.49534225,69.26000214,22.11065102,60.33338547
2/27/2014,18.00650024,75.28421783,71.18888092,15.84688091,30.51076126,72.21826935,44.44830322,68.94000244,22.27653503,60.58909607
2/28/2014,18.10499954,75.49442291,71.99318695,15.97294331,30.42167282,72.81903076,44.55023193,68.45999908,22.19359589,60.95330811
3/3/2014,17.98900032,74.98056793,72.85614014,15.77334499,30.09734726,72.37633514,44.07194138,67.41000366,22.1037426,60.03891754
3/4/2014,18.19499969,75.5333252,72.57966614,15.96768856,30.40315247,73.78340149,44.89520645,68.80000305,22.59448051,60.79056549
3/5/2014,18.61849976,75.02729034,72.82262421,15.90466309,30.48698616,73.19054413,45.60085678,71.56999969,22.63594437,60.30237961
3/6/2014,18.6079998,75.98490143,73.92014313,15.65779114,30.52077103,73.42768097,46.18106842,70.83999634,22.43550491,60.48834991
3/7/2014,18.60300064,75.55669403,74.39772034,15.66304588,30.4001503,73.76759338,46.57310104,69.80000305,22.41477203,60.73632431
3/10/2014,18.5265007,75.32314301,74.16310883,15.69455624,30.31957054,73.87036896,46.4162674,72.02999878,22.38712311,60.85256195
3/11/2014,18.44099998,75.39318848,74.65744019,15.6735487,30.02977943,73.90197754,45.62437057,70.09999847,22.40785789,61.17802048
3/12/2014,18.53199959,75.37761688,74.4312439,15.8521347,30.21271324,73.98894501,45.41268158,70.87999725,22.1037426,61.40272903
3/13/2014,18.57550049,74.43560028,73.71069336,16.02546692,29.7562561,73.51464081,45.02065659,68.83000183,21.50933075,61.36401367
3/14/2014,18.68700027,74.264328,73.05722809,16.09375381,29.34934807,73.36444855,44.53452682,67.72000122,21.58536148,61.20127106
3/17/2014,18.75200081,74.48231506,73.3001709,16.29334641,29.83233261,74.24980164,45.14611435,68.73999786,21.71669006,61.86766052
3/18/2014,18.93849945,75.05845642,73.45095825,16.36162567,30.31181145,74.25772095,45.52244186,69.19000244,22.06918335,61.8134346
3/19/2014,18.66150093,74.77036285,73.13260651,16.31435776,30.01126099,73.98101044,45.71062851,68.23999786,21.9171257,61.04628372
3/20/2014,18.44849968,74.90274048,73.36719513,16.47718239,29.95895958,74.39998627,47.12976074,66.97000122,22.0553627,60.68983459
3/21/2014,18.03100014,75.82138824,75.26902008,17.09698105,29.60560608,75.83076477,47.17681122,67.23999786,22.24197769,60.34886932
3/24/2014,17.59250069,75.40097046,74.15474701,17.29657555,28.97722626,75.25373077,47.88246536,64.09999847,21.76506042,61.44924164
3/25/2014,17.73550034,76.75563812,74.64905548,17.29657555,28.99699783,76.97693634,47.77269745,64.88999939,21.9931488,61.84443283
3/26/2014,17.1704998,76.14057922,74.0039444,17.03920555,28.32757759,76.71608734,46.96511841,60.38999939,22.24197769,61.60421371
3/27/2014,16.92350006,76.64662933,74.03764343,17.23880196,27.88488579,76.89791107,46.98080063,60.97000122,22.18668365,61.7204628
3/28/2014,16.91449928,77.37846375,74.78764343,17.48566818,28.03178215,77.0243988,47.07488632,60.00999832,22.03462601,61.80569458
